ID,Zone,State,City,Name,Type,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit
1,Northern,Delhi,Delhi,India Gate,War Memorial,0.5,4.6,0,Yes,None,Historical,Yes,2.6,Evening
2,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,2,4.5,30,Yes,None,Historical,Yes,0.4,Afternoon
3,Northern,Delhi,Delhi,Akshardham Temple,Temple,5,4.6,60,Yes,None,Religious,No,0.4,Afternoon
4,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening
5,Northern,Delhi,Delhi,Jantar Mantar,Observatory,2,4.2,15,Yes,None,Scientific,Yes,0.31,Morning
6,Northern,Delhi,Delhi,Chandni Chowk,Market,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon
7,Northern,Delhi,Delhi,Lotus Temple,Temple,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening
8,Northern,Delhi,Delhi,Red Fort,Fort,2,4.5,35,Yes,None,Historical,Yes,1.5,Afternoon
9,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1,4.2,0,Yes,None,Historical,Yes,0.41,Afternoon
10,Northern,Delhi,Delhi,Sunder Nursery,Park,2,4.6,0,Yes,None,Botanical,Yes,0.16,Afternoon
11,Northern,Delhi,Delhi,Garden of Five Senses,Park,2,4.1,35,Yes,None,Botanical,Yes,0.23,Morning
12,Northern,Delhi,Delhi,Lodhi Garden,Park,1,4.5,0,Yes,None,Botanical,Yes,0.48,All
13,Northern,Delhi,Delhi,National Gallery of Modern Art,Museum,3,4.5,20,Yes,Monday,Artistic,Yes,0.08,All
14,Northern,Delhi,Delhi,National Zoological Park ,Zoo,3,4.1,80,Yes,Friday,Environmental,Yes,0.41,All
15,Northern,Delhi,Delhi,Qutub Minar,Monument,1,4.5,35,Yes,None,Historical,Yes,1.37,Afternoon
16,Northern,Delhi,Delhi,National Science Centre,Science,5,4.4,70,Yes,None,Scientific,Yes,0.23,All
17,Western,Maharastra,Mumbai,Marine Drive,Promenade,2,4.5,0,Yes,None,Scenic,Yes,1.5,Evening
18,Western,Maharastra,Mumbai,Gateway of India,Monument,1,4.6,0,Yes,None,Historical,Yes,3.6,All
19,Western,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,1,4.6,500,Yes,None,Historical,Yes,0.34,All
20,Western,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,3,4.3,50,Yes,Monday,Wildlife,Yes,0.6,All
21,Western,Maharastra,Mumbai,Siddhivinayak Temple,Temple,2,4.8,0,Yes,None,Religious,No,1.05,All
22,Western,Maharastra,Mumbai,Mahalaxmi Temple,Temple,1,4.7,0,Yes,None,Religious,No,0.33,All
23,Western,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,2,4.4,0,Yes,None,Religious,No,0.16,All
24,Western,Maharastra,Mumbai,Chowpatty Beach,Beach,2,4.3,0,Yes,None,Recreational,Yes,0.05,Evening
25,Western,Maharastra,Mumbai,Essel World,Amusement Park,5,4.3,1149,Yes,None,Recreational,Yes,0.27,All
26,Western,Maharastra,Mumbai,Elephanta Caves,Monument,4,4.3,550,Yes,None,Historical,Yes,0.35,All 
27,Western,Maharastra,Lonavala,Imagicaa,Amusement Park,5,1.4,1149,No,Monday,Recreational,Yes,0.95,All
28,Southern,Karnataka,Bangalore,Bangalore Palace,Palace,2,4.2,500,Yes,Monday,Historical,Yes,0.9,Morning
29,Southern,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,1.5,4.4,20,Yes,None,Nature,Yes,1.5,Evening
30,Southern,Karnataka,Bangalore,Cubbon Park,Park,1,4.4,0,Yes,None,Nature,Yes,1.32,Morning
31,Southern,Karnataka,Bangalore,Vidhana Soudha,Government Building,0.5,4.6,0,Yes,None,Architectural,No,0.8,Morning
32,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1,4.6,0,Yes,None,Religious,Yes,1.14,Evening
33,Southern,Telangana,Hyderabad,Charminar,Landmark,1,4.5,25,Yes,Friday,Historical,Yes,2.1,Morning
34,Southern,Telangana,Hyderabad,Golconda Fort,Fort,2,4.4,30,Yes,None,Historical,Yes,1.2,Morning
35,Southern,Telangana,Hyderabad,Hussain Sagar Lake,Lake,1,4.3,0,Yes,None,Scenic,Yes,0.5,Evening
36,Southern,Telangana,Hyderabad,Ramoji Film City,Film Studio,4,4.4,1150,Yes,None,Entertainment,Yes,0.45,All
37,Southern,Telangana,Hyderabad,Salar Jung Museum,Museum,2,4.4,20,Yes,None,Historical,Yes,0.67,All
38,Southern,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,1,4.4,25,Yes,None,Historical,Yes,0.2,Morning
39,Southern,Telangana,Hyderabad,Birla Mandir,Temple,1,4.7,0,Yes,None,Religious,No,0.41,All
40,Southern,Telangana,Hyderabad,Chowmahalla Palace,Palace,1.5,4.4,80,Yes,None,Historical,Yes,0.45,Morning
41,Southern,Telangana,Hyderabad,Nehru Zoological Park,Zoo,3,4.2,50,Yes,None,Wildlife,Yes,0.86,Morning
42,Southern,Telangana,Hyderabad,Lumbini Park,Park,1,4.1,20,Yes,None,Recreational,Yes,0.73,Evening
43,Eastern,West Bengal,Kolkata,Victoria Memorial,Museum,1.5,4.6,30,Yes,Monday,Historical,Yes,0.73,Morning
